TIME_PERIOD,gdp_quarterly,gdp,inflation_rate_anually,education_attainment,gdp_per_capita,gdp_growth_rate,price_index,energy_prices,inflation_rate_monthly_m,inflation_rate_monthly_y,gas_emissions,household_income_q1,household_income_q2,household_income_q3,net_migration,total_population,net_population_growth,growth_rate,births,deaths,total_unemployment_rate,adult_unemployment_rate,youth_unemployment_rate
2005-06-01,,,,,,,86.98,,0.0,2.2,,,,,,,,,,,8.3,6.2,23.6
2005-07-01,86401.6,,,,,,86.78,,0.2,2.2,,,,,,,,,,,8.2,6.1,24.5
2005-08-01,,,,,,,86.96,,0.0,2.2,,,,,,,,,,,8.0,6.1,22.1
2005-09-01,,,,,,,87.68,,0.0,2.2,,,,,,,,,,,7.6,5.7,21.4
2005-10-01,86574.6,,,,,,87.87,,0.0,2.2,,,,,,,,,,,8.1,6.3,22.4
2005-11-01,,,,,,,87.59,,0.0,2.2,,,,,,,,,,,7.4,5.7,19.5
2005-12-01,,,,,,,87.63,,0.1,2.2,,,,,,,,,,,7.9,5.9,22.2
2006-01-01,88172.6,359612.3,,,39590.0,,87.04,,0.5,1.5,48.05698,13513.0,17991.0,23020.0,50769.0,9080505.0,65505.0,7.2,105913.0,91177.0,7.9,5.9,22.6
2006-02-01,,,,,,,87.36,,0.0,1.5,,,,,,,,,,,7.2,5.4,20.7
2006-03-01,,,,,,,87.93,,0.0,1.5,,,,,,,,,,,7.6,5.6,22.1
2006-04-01,89626.7,,,,,,88.41,,0.1,1.1,,,,,,,,,,,7.9,5.7,24.1
2006-05-01,,,,,,,88.59,,-0.1,1.0,,,,,,,,,,,7.3,5.3,22.3
2006-06-01,,,,,,,88.59,,0.0,0.9,,,,,,,,,,,7.1,5.3,19.7
2006-07-01,90414.2,,,,,,88.29,,0.2,1.0,,,,,,,,,,,7.1,5.4,19.4
2006-08-01,,,,,,,88.32,,0.0,0.9,,,,,,,,,,,7.2,5.1,22.1
2006-09-01,,,,,,,88.75,,0.0,0.9,,,,,,,,,,,6.7,5.0,19.2
2006-10-01,91263.3,,,,,,88.92,,0.1,0.9,,,,,,,,,,,6.7,4.9,19.5
2006-11-01,,,,,,,88.93,,0.1,0.9,,,,,,,,,,,6.7,4.9,20.0
2006-12-01,,,,,,,88.91,,0.0,0.9,,,,,,,,,,,6.6,4.8,19.0
2007-01-01,91730.8,371209.3,,,40590.0,,88.46,0.13514450046529716,1.1,1.4,47.15586,14378.0,18845.0,24210.0,53978.0,9148092.0,69670.0,7.6,107421.0,91729.0,6.5,4.8,18.4
2007-02-01,,,,,,,88.87,,0.0,1.5,,,,,,,,,,,6.3,4.4,19.4
2007-03-01,,,,,,,89.37,,0.0,1.5,,,,,,,,,,,6.6,4.7,19.3
2007-04-01,92772.8,,,,,,89.79,,0.9,2.2,,,,,,,,,,,6.2,4.8,16.6
2007-05-01,,,,,,,89.67,,0.0,2.3,,,,,,,,,,,6.0,4.3,17.9
2007-06-01,,,,,,,89.78,,0.0,2.3,,,,,,,,,,,6.3,4.5,19.2
2007-07-01,93070.5,,,,,,89.5,0.14293329305387725,0.2,2.3,,,,,,,,,,,5.9,4.4,16.9
2007-08-01,,,,,,,89.39,,0.0,2.3,,,,,,,,,,,6.1,4.3,18.2
2007-09-01,,,,,,,90.14,,0.1,2.4,,,,,,,,,,,6.2,4.4,18.9
2007-10-01,94015.2,,,,,,90.59,,0.1,2.5,,,,,,,,,,,6.3,4.3,20.0
2007-11-01,,,,,,,91.09,,0.0,2.5,,,,,,,,,,,6.1,4.3,17.8
2007-12-01,,,,,,,91.16,,0.0,2.5,,,,,,,,,,,6.1,4.2,18.6
2008-01-01,93638.3,367782.7,,,39900.0,,91.15,0.14697687820325847,1.1,2.5,45.25998,14754.0,20217.0,26045.0,55568.0,9219637.0,73420.0,8.0,109301.0,91449.0,6.0,4.2,18.8
2008-02-01,,,,,,,91.49,,0.1,2.6,,,,,,,,,,,5.9,4.2,17.5
2008-03-01,,,,,,,92.3,,0.5,3.0,,,,,,,,,,,5.9,4.0,18.3
2008-04-01,93057.3,,,,,,92.64,,0.6,2.7,,,,,,,,,,,5.7,3.8,18.4
2008-05-01,,,,,,,93.02,,0.0,2.8,,,,,,,,,,,5.9,4.2,17.2
2008-06-01,,,,,,,93.37,,0.0,2.8,,,,,,,,,,,6.7,4.2,23.3
2008-07-01,92269.3,,,,,,92.92,0.15045806491937164,-0.8,1.8,,,,,,,,,,,6.3,4.1,20.5
2008-08-01,,,,,,,93.02,,0.0,1.8,,,,,,,,,,,6.0,4.3,17.5
2008-09-01,,,,,,,93.91,,0.0,1.7,,,,,,,,,,,6.5,4.5,20.1
2008-10-01,88563.4,,,,,,93.72,,0.2,1.7,,,,,,,,,,,6.4,4.6,18.8
2008-11-01,,,,,,,93.26,,0.1,1.8,,,,,,,,,,,7.1,4.8,22.3
2008-12-01,,,,,,,93.1,,0.0,1.8,,,,,,,,,,,6.9,5.0,19.8
2009-01-01,87703.1,352131.3,,,37880.0,,93.02,0.13867623789880132,1.8,2.5,43.36465,14740.0,20477.0,26499.0,62614.0,9298515.0,84335.0,9.1,111801.0,90080.0,6.9,4.8,21.5
2009-02-01,,,,,,,93.53,,0.1,2.6,,,,,,,,,,,7.8,5.5,23.0
2009-03-01,,,,,,,94.04,,0.1,2.3,,,,,,,,,,,7.9,6.0,21.0
2009-04-01,88116.5,,,,,,94.31,,0.6,2.2,,,,,,,,,,,7.9,5.7,22.8
2009-05-01,,,,,,,94.63,,0.3,2.4,,,,,,,,,,,9.0,6.3,26.6
2009-06-01,,,,,,,94.82,,0.1,2.6,,,,,,,,,,,8.5,6.3,23.4
2009-07-01,88083.0,,,,,,94.6,0.14160396960984484,0.0,3.4,,,,,,,,,,,8.5,6.0,26.4
2009-08-01,,,,,,,94.77,,-0.3,3.1,,,,,,,,,,,8.9,6.3,27.1
2009-09-01,,,,,,,95.19,,0.1,3.2,,,,,,,,,,,8.9,6.6,24.7
2009-10-01,88260.6,,,,,,95.44,,0.1,3.2,,,,,,,,,,,8.9,6.4,25.7
2009-11-01,,,,,,,95.47,,0.2,3.3,,,,,,,,,,,8.8,6.5,24.5
2009-12-01,,,,,,,95.7,,0.0,3.3,,,,,,,,,,,9.1,6.8,25.3
2010-01-01,89641.1,372381.5,,,39710.0,,95.53,0.15906506521105043,0.6,2.0,47.41073,13588.0,18897.0,24485.0,49734.0,9378126.0,74888.0,8.0,115641.0,90487.0,9.2,6.7,26.3
2010-02-01,,,,,,,96.13,,0.0,2.0,,,,,,,,,,,9.0,6.7,24.3
2010-03-01,,,,,,,96.36,,-0.2,1.6,,,,,,,,,,,9.0,6.5,25.4
2010-04-01,92623.6,,,,,,96.3,,0.6,1.6,,,,,,,,,,,9.4,6.8,26.3
2010-05-01,,,,,,,96.38,,0.1,1.5,,,,,,,,,,,8.9,6.6,24.3
2010-06-01,,,,,,,96.32,,0.1,1.4,,,,,,,,,,,8.4,6.2,23.0
2010-07-01,94178.9,,,,,,95.9,0.16795105907190577,0.1,1.5,,,,,,,,,,,8.9,6.6,24.0
2010-08-01,,,,,,,95.84,,0.0,1.8,,,,,,,,,,,8.5,6.4,23.1
2010-09-01,,,,,,,96.63,,0.0,1.8,,,,,,,,,,,8.5,6.2,23.6
2010-10-01,94877.2,,,,,,96.94,,0.1,1.8,,,,,,,,,,,8.4,6.2,23.2
2010-11-01,,,,,,,97.12,,0.0,1.6,,,,,,,,,,,8.1,6.1,21.5
2010-12-01,,,,,,,97.72,,0.0,1.6,,,,,,,,,,,8.2,5.9,22.9
2011-01-01,95536.1,384163.2,,,40660.0,,96.84,0.17868220203619595,0.6,1.6,43.65087,15395.0,21584.0,28086.0,45453.0,9449213.0,67285.0,7.1,111770.0,89938.0,8.1,6.0,21.8
2011-02-01,,,,,,,97.32,,0.2,1.8,,,,,,,,,,,7.9,5.8,21.7
2011-03-01,,,,,,,97.7,,0.2,2.2,,,,,,,,,,,8.0,5.7,22.7
2011-04-01,96326.8,,,,,,98.02,,0.4,2.0,,,,,,,,,,,7.8,5.7,21.4
2011-05-01,,,,,,,98.06,,0.1,2.0,,,,,,,,,,,7.9,5.8,21.6
2011-06-01,,,,,,,97.74,,0.1,2.0,,,,,,,,,,,8.0,5.7,22.9
2011-07-01,97188.6,,,,,,97.47,0.17339954164756866,0.0,1.8,,,,,,,,,,,7.9,5.8,21.7
2011-08-01,,,,,,,97.41,,0.0,1.8,,,,,,,,,,,7.8,5.7,21.5
2011-09-01,,,,,,,98.09,,0.4,2.2,,,,,,,,,,,7.7,5.5,21.7
2011-10-01,94356.0,,,,,,97.98,,0.0,2.2,,,,,,,,,,,7.9,5.8,22.1
2011-11-01,,,,,,,98.18,,0.1,2.2,,,,,,,,,,,7.8,5.7,21.7
2011-12-01,,,,,,,98.15,,0.1,2.3,,,,,,,,,,,7.9,5.8,22.2
2012-01-01,95347.2,382571.3,,,40200.0,,97.57,0.16915921080045002,1.4,3.1,41.31,17016.0,23844.0,31333.0,51799.0,9519374.0,73038.0,7.7,113177.0,91938.0,8.0,6.0,22.2
2012-02-01,,,,,,,98.29,,0.2,3.1,,,,,,,,,,,7.9,5.7,22.4
2012-03-01,,,,,,,98.73,,0.2,3.1,,,,,,,,,,,7.6,5.5,21.2
2012-04-01,95898.2,,,,,,98.99,,0.4,3.1,,,,,,,,,,,7.6,5.7,20.6
2012-05-01,,,,,,,98.95,,0.1,3.1,,,,,,,,,,,8.3,5.9,24.7
2012-06-01,,,,,,,98.64,,0.1,3.1,,,,,,,,,,,8.0,5.9,21.7
2012-07-01,96507.0,,,,,,98.19,0.17555088545356057,0.1,3.2,,,,,,,,,,,8.1,5.9,23.3
2012-08-01,,,,,,,98.31,,0.0,3.2,,,,,,,,,,,8.3,5.9,25.0
2012-09-01,,,,,,,99.04,,0.1,2.9,,,,,,,,,,,8.2,6.1,22.5
2012-10-01,95385.6,,,,,,99.14,,0.1,2.9,,,,,,,,,,,8.2,5.9,23.4
2012-11-01,,,,,,,98.94,,0.1,2.9,,,,,,,,,,,8.5,6.3,23.5
2012-12-01,,,,,,,99.17,,0.0,2.8,,,,,,,,,,,8.2,5.9,23.7
2013-01-01,96033.9,386923.6,0.4,34.7125,40310.0,1.1,98.2,0.1748299470811284,1.1,2.5,39.70598,18254.0,25401.0,33156.0,65780.0,9600379.0,88971.0,9.3,113593.0,90402.0,8.0,5.8,22.9
2013-02-01,,,,,,,98.75,,0.1,2.4,,,,,,,,,,,8.1,5.9,23.2
2013-03-01,,,,,,,99.26,,0.2,2.4,,,,,,,,,,,8.4,6.0,24.1
2013-04-01,96317.2,,,,,,99.03,,0.2,2.2,,,,,,,,,,,8.4,6.1,23.4
2013-05-01,,,,,,,99.23,,0.0,2.0,,,,,,,,,,,8.0,5.8,22.7
2013-06-01,,,,,,,99.09,,-0.1,1.8,,,,,,,,,,,8.1,5.9,22.7
2013-07-01,97118.4,,,,,,98.96,0.17231616595135907,0.1,1.8,,,,,,,,,,,8.0,5.8,22.8
2013-08-01,,,,,,,99.09,,-0.1,1.7,,,,,,,,,,,8.1,5.8,23.1
2013-09-01,,,,,,,99.52,,0.1,1.7,,,,,,,,,,,8.2,6.1,21.7
2013-10-01,97893.8,,,,,,99.3,,0.2,1.8,,,,,,,,,,,7.9,6.0,20.7
2013-11-01,,,,,,,99.22,,0.1,1.8,,,,,,,,,,,8.2,5.8,23.5
2013-12-01,,,,,,,99.53,,0.1,1.9,,,,,,,,,,,8.1,6.0,22.0
2014-01-01,98328.9,395806.5,0.2,36.1875,40820.0,2.3,98.35,0.16104104476575412,0.8,1.6,38.13963,18518.0,25838.0,34288.0,76560.0,9696110.0,102491.0,10.6,114907.0,88976.0,8.2,6.1,22.3
2014-02-01,,,,,,,98.88,,0.2,1.6,,,,,,,,,,,8.1,5.9,22.5
2014-03-01,,,,,,,98.92,,0.1,1.5,,,,,,,,,,,8.2,6.0,22.8
2014-04-01,98827.8,,,,,,99.31,,0.3,1.7,,,,,,,,,,,8.2,5.8,23.8
2014-05-01,,,,,,,99.38,,0.0,1.7,,,,,,,,,,,7.8,5.8,21.0
2014-06-01,,,,,,,99.6,,-0.2,1.6,,,,,,,,,,,8.3,6.1,23.3
2014-07-01,99644.5,,,,,,99.35,0.15637160437240438,0.0,1.5,,,,,,,,,,,7.9,6.1,19.5
2014-08-01,,,,,,,99.32,,0.2,1.7,,,,,,,,,,,8.1,6.2,21.0
2014-09-01,,,,,,,99.56,,0.0,1.7,,,,,,,,,,,7.9,5.6,23.0
2014-10-01,99998.1,,,,,,99.62,,0.2,1.7,,,,,,,,,,,8.1,6.1,22.1
2014-11-01,,,,,,,99.54,,0.1,1.7,,,,,,,,,,,8.1,5.8,23.0
2014-12-01,,,,,,,99.8,,0.1,1.7,,,,,,,,,,,7.6,5.8,20.6
2015-01-01,101232.3,413175.5,0.7,37.3,42160.0,4.4,98.71,0.15362652749420116,0.6,1.5,38.1047,17794.0,25306.0,33653.0,79699.0,9799186.0,103662.0,10.6,114870.0,90907.0,7.9,6.1,20.6
2015-02-01,,,,,,,99.54,,0.1,1.4,,,,,,,,,,,8.0,6.0,21.4
2015-03-01,,,,,,,99.66,,0.1,1.4,,,,,,,,,,,7.7,5.9,20.0
2015-04-01,103538.2,,,,,,99.82,,0.1,1.1,,,,,,,,,,,7.9,6.1,20.4
2015-05-01,,,,,,,100.26,,-0.1,1.1,,,,,,,,,,,7.7,6.0,19.8
2015-06-01,,,,,,,100.0,,-0.1,1.1,,,,,,,,,,,7.6,5.8,20.9
2015-07-01,103549.2,,,,,,100.13,0.15186812089392615,0.2,1.3,,,,,,,,,,,7.2,5.5,19.3
2015-08-01,,,,,,,99.96,,-0.1,1.1,,,,,,,,,,,7.0,5.4,18.2
2015-09-01,,,,,,,100.45,,0.3,1.3,,,,,,,,,,,7.5,5.7,19.6
2015-10-01,104613.5,,,,,,100.55,,0.0,1.1,,,,,,,,,,,7.3,5.6,19.2
2015-11-01,,,,,,,100.38,,0.2,1.2,,,,,,,,,,,7.0,5.6,16.9
2015-12-01,,,,,,,100.54,,0.1,1.2,,,,,,,,,,,7.3,5.7,18.4
2016-01-01,104174.1,421981.0,1.1,38.55,42560.0,2.1,99.96,0.15470835173687794,0.4,1.0,37.56769,17747.0,25164.0,33365.0,117693.0,9923085.0,144136.0,14.5,117425.0,90982.0,7.1,5.4,18.9
2016-02-01,,,,,,,100.3,,0.2,1.1,,,,,,,,,,,7.2,5.6,18.8
2016-03-01,,,,,,,100.85,,0.0,1.1,,,,,,,,,,,7.4,5.8,18.9
2016-04-01,105060.8,,,,,,100.86,,-0.1,1.0,,,,,,,,,,,6.9,5.3,18.3
2016-05-01,,,,,,,101.08,,-0.1,1.0,,,,,,,,,,,7.3,5.5,19.8
2016-06-01,,,,,,,101.19,,-0.2,0.8,,,,,,,,,,,6.8,5.4,16.5
2016-07-01,105483.7,,,,,,101.27,0.15902430379043572,0.1,0.7,,,,,,,,,,,6.9,5.4,18.3
2016-08-01,,,,,,,101.13,,0.0,0.8,,,,,,,,,,,7.2,5.7,18.6
2016-09-01,,,,,,,101.29,,0.2,0.7,,,,,,,,,,,6.8,5.5,16.5
2016-10-01,106019.0,,,,,,101.69,,0.1,0.8,,,,,,,,,,,7.0,5.5,17.8
2016-11-01,,,,,,,101.73,,0.1,0.8,,,,,,,,,,,7.0,5.6,17.0
2016-12-01,,,,,,,102.28,,0.3,0.9,,,,,,,,,,,7.1,5.5,18.7
2017-01-01,106934.7,429926.2,1.9,39.275,42750.0,1.9,101.5,0.15546796810978236,1.0,,36.84982,17919.0,25376.0,33690.0,101645.0,10057698.0,125089.0,12.4,115416.0,91972.0,7.0,5.6,17.2
2017-02-01,,,,,,,102.25,,0.1,,,,,,,,,,,,7.0,5.4,18.3
2017-03-01,,,,,,,102.25,,0.5,,,,,,,,,,,,6.5,5.2,16.5
2017-04-01,107161.8,,,,,,102.84,,0.0,,,,,,,,,,,,6.9,5.6,16.6
2017-05-01,,,,,,,102.89,,-0.1,,,,,,,,,,,,6.9,5.4,17.5
2017-06-01,,,,,,,103.0,,-0.1,,,,,,,,,,,,6.7,5.4,16.5
2017-07-01,107598.1,,,,,,103.59,0.16318331736044558,0.1,,,,,,,,,,,,7.0,5.6,17.8
2017-08-01,,,,,,,103.37,,0.0,,,,,,,,,,,,6.5,5.2,16.3
2017-09-01,,,,,,,103.51,,0.1,,,,,,,,,,,,6.9,5.5,18.0
2017-10-01,108144.1,,,,,,103.4,,0.1,,,,,,,,,,,,7.0,5.8,15.8
2017-11-01,,,,,,,103.63,,0.2,,,,,,,,,,,,6.5,5.2,16.5
2017-12-01,,,,,,,104.05,,0.2,2.2,,,,,,,,,,,6.7,5.2,17.8
2018-01-01,108712.9,437536.9,2.0,40.7375,43000.0,1.8,103.1,0.15692562606775282,0.6,1.8,36.59405,18092.0,25540.0,34021.0,86296.0,10175214.0,109943.0,10.8,115832.0,92185.0,6.8,5.5,16.0
2018-02-01,,,,,,,103.93,,0.1,1.8,,,,,,,,,,,5.9,4.9,13.3
2018-03-01,,,,,,,104.25,,0.0,1.3,,,,,,,,,,,6.2,4.9,16.3
2018-04-01,109338.8,,,,,,104.66,,0.0,1.3,,,,,,,,,,,6.5,5.5,14.6
2018-05-01,,,,,,,104.95,,0.1,1.5,,,,,,,,,,,6.0,5.0,13.7
2018-06-01,,,,,,,105.21,,-0.6,1.0,,,,,,,,,,,6.6,5.2,17.4
2018-07-01,109255.6,,,,,,105.82,0.1727576426795561,-0.4,0.4,,,,,,,,,,,6.5,5.0,17.7
2018-08-01,,,,,,,105.53,,0.4,0.8,,,,,,,,,,,6.5,5.0,18.2
2018-09-01,,,,,,,106.05,,0.5,1.1,,,,,,,,,,,6.6,5.2,17.0
2018-10-01,110570.2,,,,,,105.89,,0.0,1.1,,,,,,,,,,,6.5,4.8,19.8
2018-11-01,,,,,,,105.77,,0.3,1.2,,,,,,,,,,,6.6,5.0,19.4
2018-12-01,,,,,,,106.29,,0.1,1.0,,,,,,,,,,,6.8,5.4,17.0
2019-01-01,110905.3,448948.9,1.7,41.3875,43650.0,2.6,105.13,0.1679783629873467,1.3,1.7,34.81046,17160.0,24474.0,32805.0,71647.0,10278887.0,97404.0,9.5,114523.0,88766.0,6.3,4.6,19.6
2019-02-01,,,,,,,105.88,,0.4,2.0,,,,,,,,,,,6.9,5.1,20.7
2019-03-01,,,,,,,106.1,,0.2,2.1,,,,,,,,,,,7.4,5.7,19.9
2019-04-01,112449.9,,,,,,106.82,,0.0,2.1,,,,,,,,,,,6.6,5.1,18.4
2019-05-01,,,,,,,107.12,,0.0,2.1,,,,,,,,,,,6.6,5.1,18.6
2019-06-01,,,,,,,106.94,,-0.2,2.5,,,,,,,,,,,6.4,5.0,17.4
2019-07-01,112100.1,,,,,,107.45,0.16986932233287497,-1.2,1.7,,,,,,,,,,,7.3,5.7,19.5
2019-08-01,,,,,,,106.91,,0.2,1.6,,,,,,,,,,,7.3,5.7,19.0
2019-09-01,,,,,,,107.43,,0.6,1.8,,,,,,,,,,,6.8,5.1,19.4
2019-10-01,113916.1,,,,,,107.57,,0.2,1.9,,,,,,,,,,,6.9,5.3,19.5
2019-11-01,,,,,,,107.67,,0.2,1.9,,,,,,,,,,,7.7,6.0,20.3
2019-12-01,,,,,,,108.14,,0.2,2.1,,,,,,,,,,,6.8,5.2,19.4
2020-01-01,113916.7,440267.2,0.7,41.85,42520.0,-1.9,106.73,0.15275280914482547,1.4,2.2,32.02049,17379.0,24700.0,32795.0,36753.0,10353442.0,51706.0,5.0,113077.0,98124.0,7.4,5.7,20.6
2020-02-01,,,,,,,107.21,,0.4,2.1,,,,,,,,,,,7.8,6.2,19.7
2020-03-01,,,,,,,106.97,,0.1,2.0,,,,,,,,,,,6.8,5.4,18.5
2020-04-01,104140.4,,,,,,106.58,,0.3,2.4,,,,,,,,,,,8.2,6.3,23.4
2020-05-01,,,,,,,107.25,,0.1,2.4,,,,,,,,,,,8.5,6.6,24.5
2020-06-01,,,,,,,107.93,,-0.1,2.5,,,,,,,,,,,9.1,6.9,27.6
2020-07-01,110161.0,,,,,,108.18,0.16378546050529882,-1.1,2.6,,,,,,,,,,,9.6,7.2,29.9
2020-08-01,,,,,,,107.99,,0.2,2.5,,,,,,,,,,,9.3,7.2,26.3
2020-09-01,,,,,,,108.06,,0.5,2.4,,,,,,,,,,,9.0,7.4,22.9
2020-10-01,111677.4,,,,,,107.99,,0.1,2.3,,,,,,,,,,,8.8,7.0,22.7
2020-11-01,,,,,,,107.91,,0.4,2.4,,,,,,,,,,,8.6,6.9,22.9
2020-12-01,,,,,,,108.79,,0.3,2.5,,,,,,,,,,,9.2,7.4,23.7
